No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Label
85,PT Pema Global Energi,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
86,PT Pema Global Energi,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
87,PT Pema Global Energi,2024,Maret,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
88,PT Pema Global Energi,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
89,PT Pema Global Energi,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
90,PT Pema Global Energi,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
91,PT Pema Global Energi,2024,Maret,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
92,Triangle Pase,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
93,Triangle Pase,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
94,Triangle Pase,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
95,Triangle Pase,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
96,Triangle Pase,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
97,Triangle Pase,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
98,Triangle Pase,2024,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
99,Zaratex N.V.,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
100,Zaratex N.V.,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
101,Zaratex N.V.,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
102,Zaratex N.V.,2024,Maret,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
103,Zaratex N.V.,2024,Maret,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
104,Zaratex N.V.,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
105,Zaratex N.V.,2024,Maret,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
106,Conrad Asia Energy,2024,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
107,Conrad Asia Energy,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
108,Conrad Asia Energy,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
109,Conrad Asia Energy,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
110,Conrad Asia Energy,2024,April,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
111,Conrad Asia Energy,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
112,Conrad Asia Energy,2024,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
113,PT Medco E&P Malaka,2024,April,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
114,PT Medco E&P Malaka,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
115,PT Medco E&P Malaka,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
116,PT Medco E&P Malaka,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
117,PT Medco E&P Malaka,2024,April,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
118,PT Medco E&P Malaka,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
119,PT Medco E&P Malaka,2024,April,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
120,PT Pema Global Energi,2024,April,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
121,PT Pema Global Energi,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
122,PT Pema Global Energi,2024,April,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
123,PT Pema Global Energi,2024,April,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
124,PT Pema Global Energi,2024,April,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,Harmonis
125,PT Pema Global Energi,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
126,PT Pema Global Energi,2024,April,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
127,Triangle Pase,2024,April,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
128,Triangle Pase,2024,April,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
129,Triangle Pase,2024,April,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
130,Triangle Pase,2024,April,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
131,Triangle Pase,2024,April,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
132,Triangle Pase,2024,April,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
133,Triangle Pase,2024,April,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
134,Zaratex N.V.,2024,April,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
135,Zaratex N.V.,2024,April,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
136,Zaratex N.V.,2024,April,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
137,Zaratex N.V.,2024,April,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
138,Zaratex N.V.,2024,April,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
139,Zaratex N.V.,2024,April,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
140,Zaratex N.V.,2024,April,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
141,Conrad Asia Energy,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
142,Conrad Asia Energy,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
143,Conrad Asia Energy,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
144,Conrad Asia Energy,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
145,Conrad Asia Energy,2024,Mei,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
146,Conrad Asia Energy,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
147,Conrad Asia Energy,2024,Mei,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
148,PT Medco E&P Malaka,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
149,PT Medco E&P Malaka,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
150,PT Medco E&P Malaka,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
151,PT Medco E&P Malaka,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
152,PT Medco E&P Malaka,2024,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
153,PT Medco E&P Malaka,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
154,PT Medco E&P Malaka,2024,Mei,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
155,PT Pema Global Energi,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
156,PT Pema Global Energi,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
157,PT Pema Global Energi,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
158,PT Pema Global Energi,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
159,PT Pema Global Energi,2024,Mei,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,Harmonis
160,PT Pema Global Energi,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
161,PT Pema Global Energi,2024,Mei,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
162,Triangle Pase,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
163,Triangle Pase,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
164,Triangle Pase,2024,Mei,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
165,Triangle Pase,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
166,Triangle Pase,2024,Mei,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
167,Triangle Pase,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
168,Triangle Pase,2024,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
169,Zaratex N.V.,2024,Mei,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
170,Zaratex N.V.,2024,Mei,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
171,Zaratex N.V.,2024,Mei,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
172,Zaratex N.V.,2024,Mei,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
173,Zaratex N.V.,2024,Mei,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
174,Zaratex N.V.,2024,Mei,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
175,Zaratex N.V.,2024,Mei,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
176,Conrad Asia Energy,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
177,Conrad Asia Energy,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
178,Conrad Asia Energy,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
179,Conrad Asia Energy,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
180,Conrad Asia Energy,2024,Juni,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
181,Conrad Asia Energy,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
182,Conrad Asia Energy,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
183,PT Medco E&P Malaka,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
184,PT Medco E&P Malaka,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
185,PT Medco E&P Malaka,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
186,PT Medco E&P Malaka,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
187,PT Medco E&P Malaka,2024,Juni,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
188,PT Medco E&P Malaka,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
189,PT Medco E&P Malaka,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
190,PT Pema Global Energi,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
191,PT Pema Global Energi,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
192,PT Pema Global Energi,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
193,PT Pema Global Energi,2024,Juni,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
194,PT Pema Global Energi,2024,Juni,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
195,PT Pema Global Energi,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
196,PT Pema Global Energi,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
197,Triangle Pase,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
198,Triangle Pase,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
199,Triangle Pase,2024,Juni,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
200,Triangle Pase,2024,Juni,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
201,Triangle Pase,2024,Juni,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
202,Triangle Pase,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
203,Triangle Pase,2024,Juni,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
204,Zaratex N.V.,2024,Juni,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
205,Zaratex N.V.,2024,Juni,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
206,Zaratex N.V.,2024,Juni,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
